category,summary
3,"약물은 증식을 억제하는 역할을 하며, 사망을 유발하지는 않는다."
6,"""코로나는 현재 우리가 경험하는 대표적인 바이러스이며, 살다가 원래 죽는다."""
5,환자의 상태가 계속해서 악화되고 있어서 증식을 계속하면 결국에는 죽게 되는 상황이다.
5,"감염병 예방을 위해 증식을 억제하는 것이 중요하며, 간염 보유자는 증식을 얼마나 잘 억제하는지에 대해 관심이 있습니다."
5,"항암제 내성으로 인한 걱정이 있고, 내성이 생길 수 있다는 점을 알려줘야 함."
4,"환자가 계속해서 치료를 받다가 약물 내성으로 생을 마감할 수 있으며, 이는 의료진의 큰 걱정이다."
6,"환자의 내성이 형성되면 다른 약물이나 병용 요법이 필요해지고, 이는 나쁜 상황이다. 현재 상황에서는 약물 억제가 잘 되고 있으며, 치료가 잘 진행되고 있다고 볼 수 있다."
4,약물에 대한 부작용으로 바이러스에 대한 내성이 발생할 수 있음에 대해 설명을 요청함.
6,"알게 된 약을 계속 복용해야 할 필요성에 대해 의문을 표하며, 오랫동안 동일한 화학물질을 섭취하는 것이 건강에 미치는 영향에 대해 궁금해 한다."
6,몸을 느끼기에 어려운 변화가 있을 수 있음.
6,이약이 없을 때 간에서 대사를 시켜서 사용해야 한다.
3,약물 대사 과정이 소모되는 물질들을 사용한다.
5,"병의 진행이 빠른 것이 아닐 수 있으며, 노화라는 것이라고 설명함."
5,"간염 약을 먹어야 간 손상을 막을 수 있고, 노화가 빨리 오는 것을 예방할 수 있습니다."
6,"약을 먹는 것이 노화를 늦추는데 도움을 줄 수 있으며, 약의 성분은 몸속에서 희석되어 효과를 준다."
3,환자가 대사시키기 위해 방문했음을 나타낸다.
6,"고혈압약이나 당뇨약과 같이 일생에 걸쳐 복용해야 하는 약들은 모두 그렇다는데, 이제 애를 쓰면 나아지겠지요."
5,"약을 먹지 않으면 상태가 더 나빠지고, 약을 먹으면 노화가 빨리 올 수밖에 없다."
5,"생활 습관이 중요하며, 강조되어야 한다."
5,"운동과 스트레스 관리를 해야하며, 노화가 빨라지는 이유 중 하나는 약 때문이다."
5,로화 촉진을 위해 신선한 음식을 섭취하고 비타민을 복용하여 항산화 기능을 유지해야 한다. 살 찌우지 않도록 주의해야 한다.
5,비타민이 풍부한 신선한 이제 식자재를 먹어야 하며 바라크루드를 복용할 때는 복용 방법에 대해 안내를 받아야 함.
2,식후 2시간 후에 복용해야 합니다.
2,"아침에 복용한 후, 먹은 후에 먹으라는 안내를 받았습니다."
6,"약사가 자신이 약을 제대로 지키지 않았다고 인정하고, 이것이 중요한 영향을 미쳤는지에 대한 질문을 했다."
5,매일 24시간마다 먹는 것이 중요하다.
6,약을 복용할 때는 정해진 시간 간격을 꼭 지켜야 합니다.
3,약물을 계속 복용하여 몸에 지속적인 효과가 있도록 간격을 유지해야 한다.
5,약이 존재하지 않는 시간이 우리 몸에 더 중요하다.
5,식사 후 2시간 이내에 약을 복용해서 효과를 줄이기 위해 시간을 지정하는 것이 중요하다.
2,"식후 2시간에 약을 먹을 수 있는 시간이며, 아침과 점심 모두 가능하다."
6,환자가 그때로 결정했다.
6,아침에 꼭 복용해야 하는 약이 있고 환자는 상관없다고 말했습니다.
6,"식후 2시간은 약물의 흡수를 최적화하기 위해 중요하며, 약물 효과를 향상시키고 부작용을 줄일 수 있습니다. 이에 따라 약물 복용 시 식후 2시간 규칙을 엄수하는 것이 중요합니다."
5,소화를 돕고 음식물을 제거하여 영양소가 흡수될 수 있도록 하는 중요한 과정이 필요하다.
6,약사가 환자의 말에 동의하고 있음을 나타냄.
5,"환자는 음식이 질병에 영향을 미치지 않는다고 생각하지만, 약을 복용하는 동안 식사에 주의해야 한다는 사실을 인식해야 합니다."
2,"약은 온전히 몸에 들어가야 하고, 다른 약과 상호작용 가능성이 크므로 음식이나 다른 약과 함께 복용하지 말아야 한다."
6,환자가 현재 복용 중인 약에 대해 의심하고 있음.
3,"약물 복용 시, 간대사에 영향을 주는 약들과 해당 약물을 분해하는 효소를 주로 고려해야 합니다."
3,환자가 이약이 흡수되는 것이 중요하다고 강조하며 진료 시 약을 복용하고 있음을 알림. 상호작용을 고려한 처방이 가능하다고 함.
6,"약을 계속해서 복용해야하며, 빠뜨리지 말아야 함."
2,"환자가 중요한 약을 매일 오후 3시에 먹어야 한다고 약속했으며, 12시간 기준으로 깜빡하지 않도록 주의해야 한다."
2,환자는 6시에 약을 먹어야 한다고 말했다.
2,"식사 시간을 기준으로 12시간이 안 지났으면 즉시 먹고, 12시간이 지났으면 그 시간을 건너뛰고 다음 시간에 먹어야 합니다."
2,약물을 복용한 후 12시간이 지났다.
2,환자는 약을 복용할 때 알람을 설정하고 작은 병을 이용하거나 약병을 구매해야 하며 항상 주머니나 가방에 몇 개의 알약을 넣어 다니는 것이 좋다.
6,약사는 환자에게 가장 좋은 시간은 바라크르드 때문에라고 말했다.
2,약을 자기 전에 잘 준비를 하고 먹고 잠자는 것이 몸에 좋다.
5,환자가 아침을 잘 못 챙기는 경우가 많아서 약을 건너뛰는 상황이 있다고 전달함.
6,저녁 시간에 평소처럼 약을 복용하는 것이 더 좋을 것 같습니다.
6,"환자는 뭔가를 좋아하는 것 같고, 상대방이 이를 진작 알았으면 좋겠다고 말했다."
5,환자는 아침에 약을 먹는 것이 중요하다고 생각하고 있다.
6,- 약사가 충분히 설명하지 못했고 바라크루드를 밤에 복용했으므로 아침에 복용하는 이유를 설명하지 못했다.
6,환자가 이해했다는 내용을 전달함.
6,약사는 다른 약재와의 상호작용을 확인해야 한다.
6,간염 환자는 특히 피해야 할 영양제가 있을 수 있음을 알려줘야 함.
5,환자가 특히 피해야 하는 것은 연년제 음이다.
6,영양제 종류가 환자에게 맞지 않을 수 있음을 암시함.
5,영양제가 간에 영향을 주는 약물은 없으므로 걱정하지 않아도 된다.
6,환자는 해당 부분에 대해 더 이상 걱정할 필요가 없다.
5,항산화 영양제를 들여도 노화 촉진을 예방할 수 있어서 항상 드시는 게 좋다.
3,"항산화제로 유명한 비타민은 A, C, E이다."
5,항산화제를 꾸준히 복용하면 좋을 것 같다.
5,환자의 아이가 필수 영양소 중에서 섭취가 부족한 오메가 3를 선물로 받을 예정이다.
6,환자가 상담 내용을 메일로 정리해서 보내줄 것을 요청함.
6,"윤소진 과장님께서도 질문이 많아서 시간이 부족하다고 하며, 처음이라는 이유로 어려운 상황임을 설명함."
6,연구원들이 다른 것보다 건강에 더 관심을 가지고 있음.
6,"환자가 정보를 쉽게 받을수록 혼란이 늘어날 수 있다. 

환자가 정보를 쉽게 받을수록 혼란이 늘어날 수 있다."
6,한약이나 한의원에서 처방하는 약재들이 간에 영향을 줄 수 있다.
5,"한의원이 성분을 공개하고, 데이터가 축적되면서 양방이 중심이 되어 한방을 보조하는 경우가 많아지고 있음.화 현상 있었으며 그로 인해 대처가 어려웠으나, 이제는 적절한 대책을 마련할 수 있게 되었다."
6,한방 치료는 치명적인 단점을 극복하기 위해 많은 노력이 들어간 것으로 보입니다.
5,"환자는 이제 보유 질환을 숨기지 않고 정직하게 이야기하고 있으며, 간 수치에 영향을 주지 않는 행동을 하고 있다고 느낀다."
6,"한의사들은 이제 더 다양한 치료 방법을 선택할 수 있게 되었고, 한약을 통한 치료가 예전만큼 흔하지 않아졌다."
3,"한약재의 특성상 양방은 한 성분을 치료약으로 사용하고, 한방은 추출액을 사용하여 성분이 많음."
6,환자는 지금 상황이 더 부담스럽다고 느낀다.
5,"간염 보유자는 한약을 선택하기 어려울 수 있고, 한의원에서도 권하지 않는다.환자에게는 한약을 복용하기 전에 의사와 충분한 상담이 필요하다."
6,환자는 이미 질병을 가지고 있거나 병을 낳기 위해 양을 지니고 있다고 생각한다.
5,"몸에 기운 도는 증상이 있을 때, 약간 덮고 습하고 이런 날씨에는 가끔씩 약을 복용하는 것이 좋다."
5,약사가 말한 것을 조심해야 할 때가 있음.
5,환자가 음식에 대해 물어보고 있음.
6,"환자가 한의원에서 약을 구매할 때, 그냥 필요한 약을 요청하면 알아서 주신다."
6,"환자가 의약품 효과에 대해 물었고, 약사는 이를 잘 모르는데 와이프가 약효를 경험했다고 언급함."
5,"아이들이 요즘 땀을 많이 흘리고 기력이 없을 때 한 3, 4일치 약을 먹으면 에너지가 돌아오는 것을 눈으로 확인할 수 있으며, 간염 보유자가 아닌 사람들도 활용할 수 있다."
6,환자는 걱정하지 않아도 된다고 하며 상태는 정상이었다.
5,"한약 복용으로 간 수치가 높아진 경우, 이는 지방간이 있었거나 그런 경우가 더 많다는 경향이 있으며, 최근에는 그러한 사례가 줄어든 것으로 보인다."
6,환자가 한의원에서의 관리를 이해하고 감사의 말씀을 전하며 약을 받아가며 고생 많았다고 말했다.
6,"환자와 약사의 인사 후, 대화가 시작될 준비가 되었다."
6,약사의 제품이 인기를 얻고 있다.
5,환자가 많이 늘어서 처리하기 힘들다는 상황을 표현하고 있음.
6,환자가 약사에게 연락을 취함.
7,환자에게 선물이 있다.
6,"환자가 고지혈증 약을 복용 중이며, 발갱곤 증상으로 발전할 가능성이 있어 메일을 통해 빠른 조치가 필요하다."
6,환자가 이전에 끊은 약을 해당 내과에서 다시 처방받지 않기를 원함.
6,환자가 와이프에게 비타민 이널을 챙겨주었다.
5,환자가 최근 건강이 좋지 않고 기력이 없어 영양제를 먹어야 할지 고민하고 있음.
5,"환자의 간 수치가 항상 높게 나와서 병원에서 먹지 않길 권유하고 있지만, 환자는 계속 관리중이며 어떻게 하면 좋을지 모르고 있다고 말했다. 최근 간 수치가 여전히 높은지 물었음."
4,환자는 경고등을 본 후 체중이 정상으로 돌아왔지만 다시 살이 찔 때 약을 먹지 않는다고 말했다.
5,피부과 약과 다른 약을 함께 복용하면 수치가 많이 올라갈 수 있다.
5,약을 먹지 않고 있는데 간 수치에 영향이 있어서 걱정되는 상황.
4,"가족력이 크고 경고등이 켜진 환자는 계속 신경을 써야 하며, 환자는 계속 왔다 갔다 하고 있다."
5,허가받은 영양제를 복용하더라도 간 수치가 쉽게 오르지 않는다.
6,"환자가 스테로이드 치료를 위해 액기스나 유사 약물을 복용하고 있으며, 간수치가 상승했다는 내용을 전달해야 함."
5,건선에 사용하는 먹는 약은 피부 간지럼을 완화하지만 치가 과도하게 올라갈 수 있음.
6,환자가 내과 진료를 받으면서 약을 끊으려고 하는데 어쩔 수 없는 상황인 것 같다.
5,"건선 치료를 위해 약을 먹지 않으면 차도가 발생하며, 약을 먹으면 간 수치가 너무 높아질 수 있다."
6,"약사가 이제 바나히 약을 복용하고 술을 줄이라고 권고하고, 약을 복용하면 혈당 수치에 영향을 줄 수 있다."
5,건강한 사람이 건선약을 복용하면 간수치가 올라간다. 이는 정상 범위 내의 변화이다.
6,"약물의 사용량을 많이 낮춰야 한다는 기준과 일반적인 간수치를 낮춰야 하는 이유를 설명하고, 이에 대비해서 약물을 정상적으로 사용하는 것이 중요하다고 강조함."
6,환자가 현재 복용 중인 약물이 안전 범위를 벗어나고 있다는 내용을 알려야 함.
6,환자의 정상 범위가 다른 사람들에 비해 크다는 점을 약사가 이해하고 있다.
5,"항상 간당간당한 데 있어서 약물 영양을 많이 타는 것은 예약으로 인한 영향이고, 이는 누구에게나 비슷한 현상이다."
5,"운동과 식단에 따라 체중이 변하므로, 이에 맞게 조절하고 건강식품은 크게 영향을 주지 않는다."
5,환자가 현재 피로감을 느낀다고 전달함.
6,환자의 시력이 나빠 보인다.
6,약을 드시는 것이 좋을 것 같습니다.
6,환자가 병원을 잘 안 가는 이유를 알아봐야 함.
6,약을 병원에서 처방받아야 더 효과적이라고 함.환자는 약국에서 처방받은 약을 먹어도 낫지 않다고 생각하고 있음.환자의 주변 사람들과 와이프는 병원으로 빨리 가야 한다고 생각함.환자는 번거로움을 피하기 위해 병원에 가지 않고 약국에서 약을 구매하고 있음.
6,약국에서 쓰는 약과 병원에서 쓰는 약의 차이는 없다.
5,"항생제는 대부분의 감기에는 필요하지 않고, 염증이 심할 때 사용될 수 있다. 병원에서만 처방받을 수 있다."
5,코와 가래 색깔이 누렇다면 생항생제를 복용해야 합니다.
6,"약 성분은 약국에서 파는 약과 콧물약은 비슷하지만, 병원에서는 소독을 통해 직접 세균을 제거할 수 있다."
6,치료 기간을 단축하려면 증상이 그 정도여야 하며 병원과 약국 약의 차이는 특별히 없다.
5,감기 초기에 개입하는 것이 좋습니다.
5,비타민을 더 세게 섭취하여 면역력을 강화하여 병을 이겨나가도록 하자.
5,환자의 와이프가 키운 병 때문에 병원에 가기 싫어하며 약을 잘 안 먹는다. 일주일 후에 괜찮아진다고 생각하며 감기가 아닌 것 같은데 계속해서 이어지고 있다고 언급함.
5,환자가 타이레놀을 종종 복용하며 가끔 몸이 좀 아프거나 열이 나는 경우가 있다. 그러나 타이레놀을 과도하게 복용하는 것은 좋지 않다.
5,과식 시 하루에 과일을 8개 이상 먹으면 안 좋다.
6,환자가 감기약을 복용 중에 타이레놀을 추가로 복용하면 몸에 맞지 않는 것 같다고 느낀다.
3,"일반 감기약이 아닌 타이네롤은 진통제뿐만 아니라 열을 낮춰주는 효과도 있으며, 이는 몸의 기능을 좋게 한다."
5,"환자는 감기약을 복용할 때 증상에 맞게 복용해야 효과적이며, 콧물이 없는데 콧물과 관련된 감기약을 복용하면 오히려 불편함이 더해진다."
5,"환자가 음식을 딱 맞춰 먹지 않으면 기침이 나고, 귀찮으니까 그냥 종합적으로 먹는다."
4,코감기 약을 사용하지 않는 것이 좋다.
5,회사에서 다 종합감기하고 입도 말라서 물 많이 마시고 약을 먹어야 함.
6,의사가 환자에게 가능한 일들에 대해 말했다.
6,와이프가 코에 쓸 시콜이 필요한데 요즘 야구에서 많이 팔리지 않는다고 함.
6,환자가 어떤 약을 먹는데 효과가 좋다고 느꼈다.
6,감기약을 종합해서 계속 복용하는 것이 불편하며 새로운 불편함이 생길 수 있다는 것이 문제이다.
6,"종합감기약을 먹을 때는 비상약을 상시로 갖다 놓아야 하고, 약을 구비할 때는 나눠서 해야 한다.회사 차원에서 비상약을 상시로 갖다 놓는다."
6,일반적인 감기약보다 코에 특화된 약을 사용하는 것이 더 효과적일 수 있다.
5,감기가 오면 어디가 제일 불편한지 말해주세요.
5,편도선이 간질간질하면 시작될 수 있음.
5,"물을 많이 마셔야 하며, 목이 조금 아프고 감기 증상이 나타날 수 있음."
6,환자는 항상 감기에 걸리지 않는다고 말씀하고 있습니다.
5,편도선 염증으로 목이 아프면 열이 쉽게 나게 됩니다.
3,환자가 타이루널을 맞아서 좋다고 느끼고 있다.
5,"환자의 목이 부었을 때, 약사가 말합니다."
5,목이 부우면 임파선이 있는 곳에서 림프와 백혈구 숫자가 늘어날 수 있어서 열이 나는 경우가 있다.
5,열이 생기면 방어막을 부축하는 과정이 일어나고 체온이 올라가면 사람은 약해지게 된다.
5,환자는 집중력이 떨어지고 머리가 아프다고 하며 타이레놀을 먹는다.
6,"환자가 약을 약하게 먹어도 효과가 있는 것 같고, 와이프도 약을 잘 안 먹는다고 함."
4,강한 약이나 에드빌 등을 복용하면 효과를 느끼지 못한다.
6,"환자가 현재 약물에 대한 효과와 내성에 대해 걱정하고 있으며, 약물을 규칙적으로 복용해야 할 필요성을 강조하고 있다."
6,"다양한 사람들은 소화 속도가 다르며, 커피를 마셔도 잠을 잘 수 있는 경우가 있다."
6,환자가 내성이 발생한 것이 아닌 본인의 대사 속도가 빠른 것 때문일 수 있다.
5,환자의 와이프와 비교해서 체중과 근육량이 많다고 함.
6,"환자가 마음에 드는 대답을 해주었고, 의사에게 감사의 말을 전했다."
5,환자가 약을 제대로 먹지 않아서 병이 악화되었을 수 있음에 감사함을 표현함.
6,의약품을 준비하여 약사가 준비를 마쳤음을 환자에게 알렸다.
6,"환자가 이료사와 대화하며, 현재 식사를 하고 있어서 영양식품을 섭취 중이라고 전달함."
6,"환자가 아침에 야채 갈아놓은 것을 먹고 있고, 와이프가 선물한 일본에서 받은 약물을 하루에 두 알씩 복용하고 있다."
2,식기마자 두 알씩 먹으면 위에 좋다고 해서 2주간 먹었는데 효과를 봤다.
6,"환자가 이전에 입원한 적이 있고, 출소 후 술자리에서 문제가 있었음."
6,일본 출장 중에 술을 마셔서 속이 안 좋아서 다른 약도 복용하면 좋다.
6,환자가 맞아야 한다고 합니다.
3,"메가히트는 양대추 추출물을 주 원료로 한 제품으로, 전막을 재생시켜주는 역할을 한다."
5,위산으로 인해 위장이 공격당할 때 빠르게 복구시켜주는 역할이 편안한 느낌을 준다.
2,"환자는 2주간 매 식사마다 두 알씩 약을 복용해야 하며, 계속해서 복용해도 상관없다고 한다."
6,환자에게 상비약으로 오해하지 말고 주의사항을 잘 숙지하고 복용해야 한다.
6,피곤할 때는 프로바이오틱스 요거트를 많이 섭취했다고 말했다.
5,환자는 아침에 일어나면 양치를 하고 물을 마시며 유산균을 두 알씩 먹고 있다.
6,"둘 다 프로바이오틱스를 복용하는 이유를 알고 싶고, 예전에 먹던 제품과 현재 새로 산 제품을 혼용해도 되는지 물었음."
6,"유산규는 더 먹어도 크게 상관없고, 다시 구입할 수 있다."
6,"환자에게 두 가지 약을 함께 복용할 필요 없이, 먹을 때 따로 먹는 것이 좋다고 이야기했다."
5,환자는 여기서 술을 많이 먹지 않는다.
6,환자가 술자리가 많이 없는 느낌이지만 현재는 그렇지 않다고 말했다.
5,"식물 추출물은 위장과 간에 좋은 영향을 줄 수 있으며, 식사 전에 섭취하는 것이 좋다."
6,"환자가 와이프가 매일 먹는 약들과 비교해, 자신이 간헐적으로 복용하고 있는 영양제에 대해 이야기했다."
6,"환자가 증상이 많다고 느끼고 있는데, 문제가 있는 부분을 이곳부터 살펴보는 게 좋을 것 같다고 안내받았다."
6,환자에게 중요한 내용을 전달해야 함.
6,"환자는 프로페쉬와 판토시기를 처방받았고, 꾸테머 때문에 꾸준히 복용 중이다."
2,의사들이 모여 있는 곳에서 고지얼증 약을 받았지만 깜빡하고 먹지 않았음. 약 번거로워서 일로 온 다음에 받기로 함.
5,"환자가 병원을 방문하여 기획이 있어 고지얼증 약을 현재 먹지 않고 있다고 전달했으며, 작년 건강검진 결과와 이데 약 복용에 문제가 없다고 느낀다."
5,환자가 최근 한두 달 사이에 금연을 시도하고 있지만 운동은 꾸준히 하고 있다.
5,"환자는 매일 꾸준히 운동을 하고 있으며, 아침에 일찍 출근해야 하기 때문에 일정을 조절하고 있다."
5,"환자는 술자리가 줄어들어 피 검사 한 번 받고, 약 복용 여부를 결정해야 한다고 느낌."
5,약을 끊은 지 두 달 동안 눌러졌던 증상이 거의 없어졌으므로 생활에 큰 영향을 받지 않을 것이다.
5,"고지혈증은 내과에서도 피를 뽑아서 검사할 수 있는 질병이며, 건강검진 날짜가 어려울 경우 내과에서도 검사 가능하다."
5,당신이 그때 생활을 제대로 관리하지 않아서 음주 등이 영향을 미쳤을 것이다.
5,가족력 때문에 혈액 수치가 좋아졌는데도 여전히 높은 채로 유지되는 경우가 있음.
5,혈관이 막히는 증상이 있으므로 빨리 검사를 받아보는 것이 좋다.
6,환자가 보여준 것들은 신중하게 선택한 것이라고 생각한다.
6,환자의 와이프가 약물을 겹치지 않게 하나씩 먹도록 조언함.
6,환자가 제품을 골라 구매하는 것에 관심이 많다.
5,환자가 제시된 음식을 섭취하는 것이 건강에 도움이 될지 장담할 수 없다고 생각합니다.
5,"환자가 매일 짜죽을 먹고 있고, 이에 대해 어떻게 생각하는지에 대해 이야기함.환자는 매일 짜죽을 먹는 것에 대해 고민하고 있음."
1,"환자가 유산견에게 아침마다 물을 먹이고, 으꿈을 먹이며 프로피시와 팔트미시즌을 투여하고 있다."
6,"환자는 집에 있는 음식을 꾸준히 먹고, 다양한 종류의 반찬을 한 번에 먹는 것이 위험하지 않다고 말했다. 그러나 너무 많이 먹으면 위험할 수 있으니 조심해야 한다."
5,"항산화제를 많이 복용 중이고, 글루타치온과 비타민 C이다."
3,"환자가 코그엔자인, 큐텐, 스피룰리나 등 항산화 효과가 있는 약물을 고르면서 환자가 항산화에 집중한 것 같다."
5,환자가 노화방지 제품을 많이 선택하고 있다.
5,"유산균을 별도로 섭취하여 장 건강을 유지하는 것이 중요하며, 장 상태가 좋지 않다는 느낌이 들 때는 더 유의해야 한다."
6,"- 환자의 와이프가 유산균 음료를 마셨는데, 가격이 비싸다고 함."
5,한 달에 몇 만원짜리 유산균을 가족들이 챙겨 먹는 것이 좋다.
5,대장 건강이 중요하며 변비와 설사가 있는 경우 유상균 검사가 필요하다.
5,장에서 균들이 싸워서 문제가 생기면 해결되고 나면 비타민도 생산된다.
5,"소장은 음식물로부터 영양소를 흡수하는 구간이며, 건강을 좋게 하는 데 유익균이 쓰이고 정신건강에도 도움을 준다."
3,장에서 분비되는 기분 좋은 호르몬 물질들이 신호를 주는 것을 알려줘야 함.
5,장이 좋아지면 우울증에 대한 방어력도 높아진다.
6,유상균은 중년 이후에 꾸준히 복용해야 한다.환자에게 권장한다.
1,다양한 종류의 약을 매일 꾸준히 복용하는 것은 중요하다.
6,"불안함 없이 조금 더 골고루 식사해야 하며, 우선적으로 코인 자임 큐 텐을 강조하고 있습니다."
5,"고지혈증 약을 오래 복용하면 코엔자임 큐텐을 소비하게 되고, 이는 인간이 태어날 때부터 갖고 있는데 심장을 활성화시키는 역할을 합니다."
3,"산화물질로부터 혈관을 보호하는 역할을 하는 향산한 물질이 필요하며, 이는 약을 많이 복용할시 소모되므로 보충이 필요하다."
5,"환자는 코인자인드 텐과 유산균을 우선순위로 두는 것이 중요하다고 생각하며, 아침에는 간단히 저녁에는 두유와 견과류를 섭취하는 것으로 식사를 대체한다."
5,"식사 후 야채를 먹는 것이 좋으며, 식사를 거르면 안 좋다."
2,환자는 도착까지 지나치게 자지 않으려고 10시 반에서 11시에 잘겠다고 계획 중이다.
6,환자가 아침에 일찍 일어나서 시간이 부족하기 때문에 식사를 건너뛰는 것이 좋다고 말했다. 이는 칼로리를 줄이는 데 도움이 된다.
6,환자가 해당 증상을 경험하고 있으며 자기도 비슷한 경험을 한다고 말했다.환자가 증상을 인지하고 있고 도움을 요청하고 있다.
5,서울시에 있는 식사의 칼로리가 권장량을 이미 초과한 것으로 보입니다.
5,"환자는 아침에도 식사를 무료로 받고, 운동을 하면 식사가 잘 들어가기 때문에 식사량이 그리 많지 않다고 생각한다. 체중적으로도 좋은 상태라고 생각하고 있다."
5,근육량이 많고 관리를 잘하고 있는 것 같습니다.
5,"고지혈증과 비만으로 인한 질병 예방을 위해 근육량이 중요하며, 나이가 들면 이러한 질병의 발생 가능성이 높아진다."
5,"근육량을 늘리면 당뇨 관리가 쉬워지고, 근육을 유지하지 않으면 식사 제어해도 효과가 없다. 운동은 중요한 습관이다."
6,포항으로 이동하는 길이 막힐 수 있으니 일찍 출발해야 한다.
5,"환자는 10명이 함께 운동을 하지만, 건물 내에 운동하는 것이 불편하며 각자 따로 떨어져 있는 건물에서 운동하는 것이 편리하다."
5,"건물에 늦게 도착하면 일찍 오라고 하며, 처방을 받기 위해는 5시 반에 도착해야 한다."
5,"환자가 이전에 오고 지금 운동하고 씻고, 6시 반부터 식사 시작한다."
5,식사리를 먹으면 일찍 생활을 시작할 수밖에 없다.
7,인천에서 차가 늦게 나오면 소음이 심하게 들린다.
5,"환자는 50분 안에 올라가야 하고, 치장이 중요하며 수면 중간에 깨는 것은 피곤하다."
6,환자가 한 대 6 시간 동안 잘 자면 문제 없지만 중간에 한 번 깨는 경우가 있다고 함.
5,소변이나 다른 것에 물을 먹으면 안 된다.
5,저녁 이후에 물을 많이 마시면 소변을 자주 보게 된다.
6,"새벽에 소변 보면 피곤하고, 공복으로 잤을 때 더 푹 잔다."
5,"운동을 하지 않으면 뇌에도 영향을 미치며, 식사에 따라 잠을 자는 것도 달라질 수 있다."
5,저녁에 약속이 있거나 해서 조금 더 탄수화물 위주의 식사를 권장함.
5,탄수화물은 소화 속도가 빠르기 때문에 혈당이 빨리 오르고 빨리 떨어진다.
5,"혈당이 급격히 떨어질 때 몸이 위기 상태에 놓일 수 있으며, 이로 인해 수면 중에 깨어날 수 있음."
5,"식사 시 탄수화물을 줄이면 수면의 질이 더 좋아지고, 저녁에는 고기나 채식을 먹는 것이 좋음. 쌀이나 밀가루보다는 계란이나 당근 등을 섭취하는 것이 좋고, 탄수화물을 줄이면 더 숙면에 도움이 됨."
5,술을 마시면 더 잘 자는 것 같지만 그것은 잘못된 행동이다.
5,설만 시간에는 중간에 숙면제를 더 추가해야 한다.
5,"술을 마시면 깊은 수면에 들기 어려워지지만, 술은 잠들기 쉬운 수면을 유도할 수 있음. 램수면에 도달하는데 방해가 될 수 있다."
6,"수면 마취의 효과가 충분하지 않을 때는 수면이 튀어나올 수 있으며, 술을 마시면 수면의 질이 떨어질 수 있다.산부인과 진료 중에는 의사의 지시에 따라 제대로 수면을 취해야 한다.신경주사/마취시스템/안정화작용이 부족할 경우 수면이 나오지 않을 수 있다."
6,수면 중 방해 요인으로 백색소음을 틀거나 역사서 등을 읽어주는 것도 동의를 받은 적이 있다.
6,"환자가 재미있는 이야기를 듣다가 잠이 들기도 하지만, 최근에는 그로인해 잠을 이루지 못하는 상황이 생겨서 이야기를 듣지 않는 것이 좋을 것 같다고 말했다."
6,"생각이 많은 사람들은 생각을 하나로 모아 정신을 단순화할 수 있으며, 이것은 잠에 도움이 되고 없는 것이 더 좋을 수 있다."
6,"환자는 현재 생각이 많고 수면에 지장을 주는 영상을 보는 것보다는 다른 방법을 찾고 있으며, 잠이 오지 않을 때 어떻게 해야 할지 고민 중입니다."
5,"환자는 특정 날짜에 일찍 출근해야 한다고 생각하고 있으며, 이에 대한 준비를 하고 있다."
5,"환자가 이전 밤 일찍 잠자리에 들려고 노력했지만, 아침에 일찍 깼다."
5,"- 환자는 일요일밤에 잠을 이루기 힘들어서 불안하고 피곤함을 느낌
- 이로 인해 월요일에 대한 걱정으로 더욱 괴로워짐
- 잠을 자는 것이 중요하며, 잠이 안 올 때는 더 피곤해질 수 있음"
5,"환자가 최근 잠을 잘 못 자고 스트레스 받고 있는 상황이며, 2시에 잠을 자고 4시 반에 일어나는 상황이 지속되고 있다. 이로 인해 스트레스와 압박감을 느끼고 있다."
5,잠이 오지 않을 때는 누워서 조금씩 쉬는 것이 좋다.
6,눈을 감고 있는 것만으로도 우리 몸에 피로를 풀어주는 효과가 있다.
6,"환자가 코로나 백신을 맞은 지 2달 넘었고, 거리두기를 잘 지키고 있다고 말했다."
5,임시적으로는 거루를 많이 당할 수밖에 없으므로 아침 일찍 운동하고 식사를 챙겨 먹어야 한다.
6,"환자가 한 달 동안 과로로 피곤하다고 말했으며, 7시 전에 사무실에 와서 신문을 읽으라고 권유하였다."
5,"환자가 중간에 간 졸음을 경험했지만 지금은 나아졌으며, 일찍 자고 수면 시간을 늘리는 것이 좋다고 함."
5,"환자가 11시에 주무르고도 5시 반에 일어나야 하는데, 그 전에 40분에서 50분 일찍 일어나야 한다."
5,"8시간 이상 자는 것이 중요하고, 6시간 이하로 자면 첫 전적이 없는 것 같다."
5,"5시간 넘어가면 깨지는 느낌을 느끼는데 평일에는 적절한 시간에 자야 하고, 주말에는 낮잠을 자도 괜찮다."
5,"환자는 낮에 잘 수 없어서 피곤한 상태이며, 나아가서 버티고 있다."
6,환자가 좋은 일을 하고 있다는 사실을 인정해주는 것이 중요하다.
6,"환자는 처음으로 기업에 와서 일을 하는 중이며, 연구원들은 대부분 과제로 인해 스트레스를 받고 있다."
6,환자가 어떤 지인이 추천한 영양제를 시도해보려고 한다.
6,환자가 회사 일부를 구입하여 주고받는 것이 효과가 좋았다.
4,"임의로 약을 주는 것은 부작용이나 오남형의 가능성을 감안해야 하며, 회사가 이에 대한 책임을 부담할 수도 있다."
6,환자에게 상담 서비스를 시도해보기로 하는 상황 후 일단은 다른 것은 생각하지 말라고 안내함.
